filename	analysis_alias	analysis_accession
6412a9a6-602a-4398-a254-e57f42c38caa/analysis.6412a9a6-602a-4398-a254-e57f42c38caa.GNOS.xml.gz.gpg	6412a9a6-602a-4398-a254-e57f42c38caa	EGAZ00001225772
06cdfafe-a778-483c-a08e-2f79d5e2b27e/analysis.06cdfafe-a778-483c-a08e-2f79d5e2b27e.GNOS.xml.gz.gpg	06cdfafe-a778-483c-a08e-2f79d5e2b27e	EGAZ00001225821
0f532317-6a3f-4f71-926c-e0129cc221df/analysis.0f532317-6a3f-4f71-926c-e0129cc221df.GNOS.xml.gz.gpg	0f532317-6a3f-4f71-926c-e0129cc221df	EGAZ00001225760
85401629-831c-4b42-a0f5-920a6ea3e0e8/analysis.85401629-831c-4b42-a0f5-920a6ea3e0e8.GNOS.xml.gz.gpg	85401629-831c-4b42-a0f5-920a6ea3e0e8	EGAZ00001225696
c14e13c5-dc34-4c76-85b2-4b2feadb3662/analysis.c14e13c5-dc34-4c76-85b2-4b2feadb3662.GNOS.xml.gz.gpg	c14e13c5-dc34-4c76-85b2-4b2feadb3662	EGAZ00001225666
26ffdff2-2a89-402e-829f-cdf34057c359/analysis.26ffdff2-2a89-402e-829f-cdf34057c359.GNOS.xml.gz.gpg	26ffdff2-2a89-402e-829f-cdf34057c359	EGAZ00001225769
6b85e43d-ef0a-4445-a649-e20e90a5ad4f/analysis.6b85e43d-ef0a-4445-a649-e20e90a5ad4f.GNOS.xml.gz.gpg	6b85e43d-ef0a-4445-a649-e20e90a5ad4f	EGAZ00001225797
47093b88-fa0c-46f9-8dcd-677f778c79d7/analysis.47093b88-fa0c-46f9-8dcd-677f778c79d7.GNOS.xml.gz.gpg	47093b88-fa0c-46f9-8dcd-677f778c79d7	EGAZ00001225673
1d9b1ecb-af19-4d45-a82b-dade64bd7dc4/analysis.1d9b1ecb-af19-4d45-a82b-dade64bd7dc4.GNOS.xml.gz.gpg	1d9b1ecb-af19-4d45-a82b-dade64bd7dc4	EGAZ00001225732
adb32c2f-3b16-45b8-842a-a702700fb579/analysis.adb32c2f-3b16-45b8-842a-a702700fb579.GNOS.xml.gz.gpg	adb32c2f-3b16-45b8-842a-a702700fb579	EGAZ00001225807
0be171c6-8b0d-41d1-ae9e-51ec1c792b0b/analysis.0be171c6-8b0d-41d1-ae9e-51ec1c792b0b.GNOS.xml.gz.gpg	0be171c6-8b0d-41d1-ae9e-51ec1c792b0b	EGAZ00001225815
964664a6-f8bd-47a9-bbbc-67618c9a7bc2/analysis.964664a6-f8bd-47a9-bbbc-67618c9a7bc2.GNOS.xml.gz.gpg	964664a6-f8bd-47a9-bbbc-67618c9a7bc2	EGAZ00001223850
4f324561-875d-4f6d-b8e4-b1615b28c531/analysis.4f324561-875d-4f6d-b8e4-b1615b28c531.GNOS.xml.gz.gpg	4f324561-875d-4f6d-b8e4-b1615b28c531	EGAZ00001223807
4e80a967-22de-4da5-b34e-57e8ed54705b/analysis.4e80a967-22de-4da5-b34e-57e8ed54705b.GNOS.xml.gz.gpg	4e80a967-22de-4da5-b34e-57e8ed54705b	EGAZ00001223805
466ee59f-c767-43ae-9bcd-a53d64baf779/analysis.466ee59f-c767-43ae-9bcd-a53d64baf779.GNOS.xml.gz.gpg	466ee59f-c767-43ae-9bcd-a53d64baf779	EGAZ00001225691
b29c1874-e140-4b2e-8fc0-dd0200366de2/analysis.b29c1874-e140-4b2e-8fc0-dd0200366de2.GNOS.xml.gz.gpg	b29c1874-e140-4b2e-8fc0-dd0200366de2	EGAZ00001223870
4afa03b9-05fc-49d5-ba45-2bbdd081c804/analysis.4afa03b9-05fc-49d5-ba45-2bbdd081c804.GNOS.xml.gz.gpg	4afa03b9-05fc-49d5-ba45-2bbdd081c804	EGAZ00001225754
fc5b6a5a-433b-47a3-8151-fa6a57a22250/analysis.fc5b6a5a-433b-47a3-8151-fa6a57a22250.GNOS.xml.gz.gpg	fc5b6a5a-433b-47a3-8151-fa6a57a22250	EGAZ00001225686
a8e8e8be-d9d1-44bb-96c9-448a67da0ffe/analysis.a8e8e8be-d9d1-44bb-96c9-448a67da0ffe.GNOS.xml.gz.gpg	a8e8e8be-d9d1-44bb-96c9-448a67da0ffe	EGAZ00001223865
20e40566-e8d0-4ac2-b945-e2454651eb30/analysis.20e40566-e8d0-4ac2-b945-e2454651eb30.GNOS.xml.gz.gpg	20e40566-e8d0-4ac2-b945-e2454651eb30	EGAZ00001225766
980fcb5c-f73e-411d-b831-f4df7eceb2fb/analysis.980fcb5c-f73e-411d-b831-f4df7eceb2fb.GNOS.xml.gz.gpg	980fcb5c-f73e-411d-b831-f4df7eceb2fb	EGAZ00001225809
be409768-87ae-4e9a-b732-bea996d6773f/analysis.be409768-87ae-4e9a-b732-bea996d6773f.GNOS.xml.gz.gpg	be409768-87ae-4e9a-b732-bea996d6773f	EGAZ00001223879
9fd35f20-b4f6-4135-8a93-104ef3881808/analysis.9fd35f20-b4f6-4135-8a93-104ef3881808.GNOS.xml.gz.gpg	9fd35f20-b4f6-4135-8a93-104ef3881808	EGAZ00001223858
46203224-d213-403e-b353-b0d64509abba/analysis.46203224-d213-403e-b353-b0d64509abba.GNOS.xml.gz.gpg	46203224-d213-403e-b353-b0d64509abba	EGAZ00001223794
e21afb46-7ac0-4827-9866-2303700305ee/analysis.e21afb46-7ac0-4827-9866-2303700305ee.GNOS.xml.gz.gpg	e21afb46-7ac0-4827-9866-2303700305ee	EGAZ00001223897
b2b40b75-492d-4d87-b402-eedc27bb7198/analysis.b2b40b75-492d-4d87-b402-eedc27bb7198.GNOS.xml.gz.gpg	b2b40b75-492d-4d87-b402-eedc27bb7198	EGAZ00001225724
78deee05-8715-4ed7-a8bb-4d23317dc8d6/analysis.78deee05-8715-4ed7-a8bb-4d23317dc8d6.GNOS.xml.gz.gpg	78deee05-8715-4ed7-a8bb-4d23317dc8d6	EGAZ00001223833
86e887af-796b-4b3a-9b25-de666d5ed376/analysis.86e887af-796b-4b3a-9b25-de666d5ed376.GNOS.xml.gz.gpg	86e887af-796b-4b3a-9b25-de666d5ed376	EGAZ00001223840
