sample_accession	sample_alias
EGAN00001368525	SA505928
EGAN00001368529	SA505549
EGAN00001368533	SA505323
EGAN00001368537	SA505845
EGAN00001368541	SA505860
EGAN00001368549	SA505269
EGAN00001368563	SA505414
EGAN00001368567	SA505686
EGAN00001368571	SA505651
EGAN00001368603	SA505884
EGAN00001368607	SA505670
EGAN00001368609	SA505790
EGAN00001368623	SA505500
EGAN00001368633	SA505830
